iter	RMSE
0	0.9994001468
1	0.9988184302
2	0.998243449
3	0.9976267162
4	0.9970255283
5	0.9964274626
6	0.9958146573
7	0.9951985594
8	0.9946135168
9	0.9940402207
10	0.993471989
11	0.9928769351
12	0.9922682544
13	0.9916698428
14	0.9910551307
15	0.9904405573
16	0.9898605577
17	0.989247718
18	0.9886629491
19	0.9880594818
20	0.987477819
21	0.9868697588
22	0.9862728223
23	0.9856733883
24	0.9850725062
25	0.984499748
26	0.9838905081
27	0.9833191218
28	0.9827310324
29	0.9821286284
30	0.981550761
31	0.980966071
32	0.9803647187
33	0.9797745217
34	0.9791761556
35	0.9786112568
36	0.9780128101
37	0.9774254239
38	0.9768353217
39	0.9762390637
40	0.9756657747
41	0.9750661286
42	0.974481959
43	0.973934334
44	0.9733724803
45	0.9727826492
46	0.972244027
47	0.9716564723
48	0.9711119869
49	0.9705555477
50	0.9699736699
51	0.9693916408
52	0.9687995104
53	0.968243041
54	0.9676751666
55	0.9671142527
56	0.9665411035
57	0.9659839854
58	0.9654035231
59	0.9648438061
60	0.9642882715
61	0.9637035045
62	0.9631691122
63	0.9626188559
64	0.9620596727
65	0.9614925186
66	0.9609217026
67	0.9603751362
68	0.9598009143
69	0.9592447998
70	0.9586646681
71	0.9580927792
72	0.9575433907
73	0.9569764506
74	0.9564024824
75	0.9558444326
76	0.9552736435
77	0.9547269783
78	0.9541671092
79	0.9536126978
80	0.9530691864
81	0.9525106164
82	0.951942411
83	0.951383677
84	0.9508315939
85	0.9502747982
86	0.9497286189
87	0.9491820927
88	0.9486219139
89	0.948054364
90	0.9474957016
91	0.9469504882
92	0.9464082073
93	0.9458748673
94	0.9453353371
95	0.9448158284
96	0.9442828117
97	0.9437236318
98	0.9431799908
99	0.9426448124
100	0.9421105036
101	0.9415732207
102	0.9410400327
103	0.940498736
104	0.9399546869
105	0.9394008168
106	0.9388713752
107	0.9383483858
108	0.9378142229
109	0.9372585835
110	0.9367257573
111	0.9361868247
112	0.9356491962
113	0.9350994743
114	0.93454986
115	0.9340296426
116	0.9334835066
117	0.93294725
118	0.9324191856
119	0.9319095568
120	0.9313781781
121	0.9308353878
122	0.9302954339
123	0.929760168
124	0.9292476526
125	0.9287348755
126	0.9282217504
127	0.9276821395
128	0.9271514884
129	0.9266459398
130	0.9261067169
131	0.9255618861
132	0.9250254057
133	0.9245114065
134	0.9240134042
135	0.9234933331
136	0.9229580221
137	0.9224482705
138	0.9219439227
139	0.9214087371
140	0.9208814966
141	0.920349353
142	0.9198372998
143	0.919312836
144	0.9188078164
145	0.9182940102
146	0.9177729619
147	0.9172491906
148	0.9167388149
149	0.9162218576
150	0.9157181387
151	0.9151964757
152	0.9147024251
153	0.9142080592
154	0.9136887821
155	0.9131654796
156	0.9126608969
157	0.9121732281
158	0.9116718686
159	0.9111581962
160	0.9106387723
161	0.9101460621
162	0.9096489837
163	0.9091506958
164	0.9086290134
165	0.9081465059
166	0.9076641517
167	0.9071732624
168	0.9066727909
169	0.9061653186
170	0.9056565814
171	0.9051475079
172	0.9046500589
173	0.9041422379
174	0.9036740872
175	0.903167498
176	0.9026757225
177	0.9021833307
178	0.9016700956
179	0.9012059847
180	0.9007214805
181	0.9002175752
182	0.8997499609
183	0.8992626975
184	0.8987674343
185	0.8982659846
186	0.8977623656
187	0.8972725191
188	0.8967970318
189	0.896286907
190	0.8958129093
191	0.8953506717
192	0.8948542012
193	0.8943614792
194	0.8938843501
195	0.893388192
196	0.8929008064
197	0.8924459845
198	0.8919597939
199	0.8914585156
200	0.8909887767
201	0.8905102477
202	0.8900401005
203	0.8895679742
204	0.8890793627
205	0.8885905976
206	0.8881106577
207	0.8876441342
208	0.8871509321
209	0.8866715039
210	0.8862015661
211	0.88571546
212	0.8852353209
213	0.884751851
214	0.8843114702
215	0.8838786751
216	0.8833973904
217	0.8829223304
218	0.8824511475
219	0.8819679119
220	0.8815240909
221	0.8810560477
222	0.8805907763
223	0.8801035411
224	0.8795918225
225	0.8791461952
226	0.8786712463
227	0.878203617
228	0.8777219037
229	0.8772467567
230	0.876761376
231	0.8762834925
232	0.8758062794
233	0.8753420859
234	0.8748818871
235	0.8744109916
236	0.873963156
237	0.8735149268
238	0.873044861
239	0.8726006854
240	0.8721259159
241	0.871653776
242	0.8712179935
243	0.8707545758
244	0.870317779
245	0.8698672372
246	0.8694170475
247	0.868944026
248	0.8685089897
249	0.8680422859
250	0.8676187095
251	0.8671548398
252	0.8667020311
253	0.8662376122
254	0.8657941979
255	0.8653675316
256	0.8648986505
257	0.8644304326
258	0.863955374
259	0.8634863053
260	0.8630307785
261	0.8626409715
262	0.8621897033
263	0.8617548214
264	0.8612906156
265	0.860847192
266	0.8603915932
267	0.8599532921
268	0.8595065695
269	0.8590713847
270	0.8586133099
271	0.8581672237
272	0.8577158307
273	0.8572616196
274	0.8568489459
275	0.8564091925
276	0.8559545981
277	0.8555167128
278	0.855083077
279	0.8546676404
280	0.8542185259
281	0.8537826232
282	0.8533252757
283	0.8528872011
284	0.8524496373
285	0.8519911081
286	0.851562378
287	0.8511199085
288	0.8506669218
289	0.8502382031
290	0.849817315
291	0.8493899519
292	0.848951348
293	0.8485467906
294	0.8481028726
295	0.8476893459
296	0.8472819663
297	0.8468608633
298	0.8464224274
299	0.845986205
300	0.8455632601
301	0.8451490425
302	0.8447206816
303	0.8443013795
304	0.8439082439
305	0.8434837072
306	0.8430447933
307	0.8426322139
308	0.842199127
309	0.8417604085
310	0.8413313992
311	0.8409108389
312	0.8404669101
313	0.8400567784
314	0.8396223257
315	0.8391963019
316	0.8387651676
317	0.8383272019
318	0.8379380597
319	0.8375407438
320	0.8371053567
321	0.8366930908
322	0.8362746167
323	0.8358458402
324	0.8354415796
325	0.8350200448
326	0.8345986171
327	0.8341838616
328	0.8337524817
329	0.8333592768
