iter	Passed	Remaining
0	2	2604
1	4	2483
2	7	2418
3	9	2355
4	12	2524
5	15	2597
6	17	2515
7	19	2460
8	21	2406
9	23	2344
10	25	2291
11	27	2254
12	29	2213
13	30	2182
14	32	2152
15	34	2128
16	36	2102
17	38	2081
18	39	2061
19	41	2044
20	43	2028
21	45	2015
22	47	2002
23	48	1987
24	50	1973
25	52	1961
26	54	1950
27	56	1965
28	58	1957
29	60	1953
30	62	1960
31	64	1957
32	66	1959
33	68	1950
34	70	1947
35	72	1939
36	74	1932
37	76	1924
38	77	1920
39	79	1918
40	81	1916
41	83	1913
42	85	1912
43	87	1911
44	90	1910
45	91	1906
46	93	1903
47	96	1921
48	99	1937
49	102	1944
50	105	1955
51	107	1965
52	110	1977
53	112	1971
54	114	1965
55	116	1958
56	118	1952
57	119	1946
58	121	1941
59	123	1939
60	125	1935
61	127	1932
62	129	1929
63	131	1927
64	133	1925
65	135	1923
66	137	1921
67	139	1918
68	141	1915
69	144	1913
70	146	1910
71	148	1908
72	150	1906
73	152	1903
74	154	1900
75	156	1897
76	158	1900
77	160	1897
78	162	1895
79	164	1892
80	166	1889
81	168	1886
82	170	1884
83	172	1883
84	174	1880
85	176	1877
86	178	1874
87	180	1871
88	182	1868
89	184	1865
90	186	1863
91	188	1860
92	190	1858
93	192	1855
94	194	1852
95	196	1849
96	198	1846
97	200	1843
98	202	1841
99	204	1839
100	206	1838
101	208	1835
102	210	1834
103	214	1846
104	216	1844
105	218	1842
106	220	1839
107	222	1839
108	226	1849
109	228	1846
110	230	1844
111	232	1842
112	234	1839
113	236	1838
114	238	1836
115	240	1835
116	242	1832
117	244	1830
118	248	1841
119	251	1847
120	254	1845
121	257	1854
122	263	1877
123	268	1896
124	270	1896
125	273	1894
126	275	1890
127	277	1887
128	279	1885
129	281	1882
130	283	1878
131	285	1875
132	287	1870
133	289	1868
134	291	1864
135	293	1861
136	295	1858
137	297	1855
138	299	1852
139	301	1850
140	303	1847
141	305	1844
142	307	1843
143	309	1841
144	312	1842
145	314	1838
146	316	1835
147	318	1831
148	319	1827
149	321	1824
150	324	1822
151	326	1818
152	327	1814
153	329	1811
154	331	1807
155	333	1804
156	335	1802
157	337	1799
158	339	1796
159	341	1791
160	343	1788
161	345	1785
162	347	1782
163	349	1780
164	351	1778
165	353	1774
166	355	1771
167	356	1767
168	358	1764
169	360	1761
170	362	1758
171	364	1755
172	366	1752
173	368	1750
174	370	1747
175	372	1744
176	374	1742
177	376	1739
178	378	1736
179	380	1733
180	382	1731
181	384	1728
182	386	1725
183	388	1723
184	390	1720
185	392	1717
186	394	1714
187	396	1711
188	398	1708
189	400	1706
190	402	1703
191	404	1701
192	406	1699
193	408	1696
194	410	1694
195	412	1690
196	413	1687
197	417	1690
198	421	1695
199	425	1700
200	427	1698
201	429	1695
202	431	1693
203	433	1690
204	435	1687
205	437	1684
206	439	1682
207	440	1678
208	442	1675
209	444	1672
210	446	1671
211	451	1678
212	455	1683
213	459	1688
214	462	1690
215	464	1686
216	466	1683
217	468	1679
218	470	1676
219	471	1672
220	475	1675
221	478	1678
222	482	1679
223	485	1683
224	487	1679
225	489	1676
226	491	1672
227	492	1669
228	494	1665
229	496	1662
230	498	1658
231	500	1655
232	501	1651
233	503	1649
234	506	1648
235	508	1645
236	510	1642
237	512	1639
238	513	1636
239	517	1639
240	519	1637
241	521	1634
242	523	1631
243	525	1628
244	527	1626
245	530	1626
246	532	1623
247	534	1620
248	536	1617
249	538	1614
250	540	1612
251	542	1610
252	544	1607
253	546	1603
254	549	1604
255	550	1601
256	554	1602
257	558	1606
258	560	1603
259	562	1601
260	564	1598
261	566	1596
262	568	1593
263	570	1591
264	572	1589
265	578	1597
266	583	1602
267	588	1607
268	590	1604
269	592	1601
270	594	1599
271	596	1596
272	598	1594
273	600	1591
274	602	1588
275	604	1586
276	606	1583
277	608	1580
278	610	1578
279	612	1574
280	614	1572
281	617	1571
282	621	1573
283	626	1578
284	631	1583
285	636	1588
286	639	1587
287	642	1587
288	643	1583
289	645	1580
290	647	1577
291	649	1574
292	650	1570
293	652	1567
294	654	1564
295	656	1560
296	658	1557
297	659	1554
298	661	1550
299	663	1547
300	664	1544
301	669	1548
302	673	1549
303	675	1545
304	677	1543
305	679	1540
306	681	1538
307	683	1535
308	685	1532
309	687	1529
310	689	1527
311	691	1524
312	693	1521
313	694	1517
314	698	1518
315	701	1518
316	705	1520
317	707	1518
318	709	1515
319	711	1512
320	713	1509
321	715	1507
322	717	1504
323	719	1501
324	721	1499
325	723	1496
326	725	1493
327	727	1490
328	731	1492
329	734	1491
330	738	1492
331	743	1496
332	745	1493
333	747	1491
334	749	1488
335	751	1486
336	753	1483
337	755	1480
338	757	1477
339	759	1474
340	761	1472
341	763	1469
342	765	1466
343	767	1463
344	769	1461
345	771	1458
346	775	1459
347	777	1457
348	779	1454
349	781	1451
350	783	1447
351	785	1445
352	787	1442
353	788	1439
354	790	1436
355	792	1434
356	794	1431
357	797	1429
358	802	1432
359	804	1431
360	806	1428
361	811	1429
362	813	1427
363	815	1424
364	819	1426
365	825	1429
366	827	1427
367	829	1424
368	831	1421
369	833	1419
370	835	1416
371	837	1413
372	839	1410
373	841	1408
374	843	1405
375	846	1404
376	849	1403
377	851	1401
378	853	1399
379	858	1400
380	861	1399
381	863	1396
382	865	1393
383	867	1391
384	869	1388
385	871	1385
386	873	1382
387	875	1380
388	877	1377
389	878	1374
390	881	1372
391	883	1369
392	885	1367
393	887	1364
394	889	1361
395	892	1361
396	896	1361
397	899	1360
398	901	1357
399	902	1354
400	904	1351
401	906	1348
402	908	1346
403	910	1343
404	912	1340
405	914	1337
406	916	1335
407	918	1332
408	920	1329
409	922	1326
410	924	1324
411	925	1321
412	927	1318
413	929	1316
414	931	1313
415	933	1310
416	935	1307
417	937	1304
418	939	1302
419	941	1299
420	943	1297
421	945	1294
422	946	1291
423	948	1288
424	950	1286
425	952	1283
426	954	1280
427	956	1278
428	958	1275
429	960	1272
430	962	1270
431	964	1267
432	966	1265
433	968	1263
434	971	1261
435	973	1258
436	975	1256
437	977	1253
438	978	1251
439	980	1248
440	984	1247
441	986	1244
442	987	1242
443	989	1239
444	991	1237
445	994	1234
446	995	1232
447	997	1229
448	999	1226
449	1001	1223
450	1003	1221
451	1005	1218
452	1007	1216
453	1009	1213
454	1011	1211
455	1013	1208
456	1014	1205
457	1016	1203
458	1018	1200
459	1020	1198
460	1022	1195
461	1024	1193
462	1026	1190
463	1028	1188
464	1030	1185
465	1032	1182
466	1034	1180
467	1036	1177
468	1038	1175
469	1040	1172
470	1041	1170
471	1043	1167
472	1049	1169
473	1053	1168
474	1056	1167
475	1058	1165
476	1060	1162
477	1062	1160
478	1064	1158
479	1066	1155
480	1068	1153
481	1070	1150
482	1073	1148
483	1075	1146
484	1077	1143
485	1078	1140
486	1080	1138
487	1082	1135
488	1084	1133
489	1086	1130
490	1087	1127
491	1089	1125
492	1091	1122
493	1093	1120
494	1095	1117
495	1097	1115
496	1099	1112
497	1100	1109
498	1102	1107
499	1104	1104
500	1106	1102
501	1108	1099
502	1110	1097
503	1112	1094
504	1114	1092
505	1116	1089
506	1118	1087
507	1119	1084
508	1121	1081
509	1123	1079
510	1125	1076
511	1127	1074
512	1129	1071
513	1131	1069
514	1133	1067
515	1134	1064
516	1136	1061
517	1138	1059
518	1140	1057
519	1142	1054
520	1144	1052
521	1146	1049
522	1148	1047
523	1150	1045
524	1152	1042
525	1154	1040
526	1156	1037
527	1158	1035
528	1160	1033
529	1162	1030
530	1164	1028
531	1166	1025
532	1168	1023
533	1169	1020
534	1171	1018
535	1173	1016
536	1175	1013
537	1177	1011
538	1180	1009
539	1181	1006
540	1183	1004
541	1185	1002
542	1187	999
543	1189	997
544	1191	994
545	1193	992
546	1195	989
547	1197	987
548	1199	984
549	1204	985
550	1208	984
551	1212	983
552	1216	983
553	1221	983
554	1222	980
555	1224	978
556	1226	975
557	1228	973
558	1230	970
559	1232	968
560	1233	965
561	1236	963
562	1238	961
563	1242	960
564	1245	958
565	1247	956
566	1249	953
567	1251	951
568	1253	949
569	1254	946
570	1256	944
571	1258	941
572	1260	939
573	1262	937
574	1264	934
575	1266	932
576	1268	929
577	1270	927
578	1272	925
579	1274	922
580	1276	920
581	1278	917
582	1280	915
583	1282	913
584	1283	910
585	1286	908
586	1287	906
587	1289	903
588	1291	901
589	1293	898
590	1295	896
591	1297	894
592	1299	892
593	1301	889
594	1303	887
595	1305	884
596	1307	882
597	1309	879
598	1311	877
599	1313	875
600	1314	872
601	1316	870
602	1318	868
603	1320	865
604	1322	863
605	1324	861
606	1326	858
607	1328	856
608	1330	854
609	1332	851
610	1334	849
611	1335	847
612	1337	844
613	1339	842
614	1341	839
615	1343	837
616	1345	835
617	1347	832
618	1349	830
619	1351	828
620	1352	825
621	1354	823
622	1356	820
623	1358	818
624	1360	816
625	1363	814
626	1365	812
627	1367	810
628	1370	808
629	1377	809
630	1379	806
631	1381	804
632	1383	801
633	1384	799
634	1386	797
635	1388	794
636	1389	792
637	1391	789
638	1393	787
639	1395	784
640	1396	782
641	1398	779
642	1400	777
643	1402	775
644	1407	774
645	1409	772
646	1412	770
647	1415	768
648	1419	767
649	1424	767
650	1426	764
651	1428	762
652	1429	759
653	1431	757
654	1433	755
655	1435	752
656	1437	750
657	1439	748
658	1441	745
659	1443	743
660	1445	741
661	1447	738
662	1448	736
663	1450	734
664	1452	731
665	1454	729
666	1456	727
667	1458	724
668	1460	722
669	1462	720
670	1464	717
671	1466	715
672	1468	713
673	1470	711
674	1473	709
675	1475	707
676	1477	704
677	1479	702
678	1481	700
679	1484	698
680	1488	697
681	1490	694
682	1492	692
683	1494	690
684	1496	687
685	1497	685
686	1499	683
687	1501	681
688	1503	678
689	1505	676
690	1507	673
691	1509	671
692	1510	669
693	1512	667
694	1514	664
695	1516	662
696	1518	660
697	1520	657
698	1522	655
699	1526	654
700	1530	652
701	1534	651
702	1539	650
703	1541	648
704	1543	645
705	1545	643
706	1548	641
707	1551	639
708	1552	637
709	1554	635
710	1556	632
711	1558	630
712	1560	628
713	1562	625
714	1564	623
715	1566	621
716	1567	618
717	1569	616
718	1571	614
719	1572	611
720	1574	609
721	1576	606
722	1577	604
723	1579	602
724	1581	599
725	1583	597
726	1584	595
727	1586	592
728	1588	590
729	1590	588
730	1592	585
731	1594	583
732	1595	581
733	1597	579
734	1599	576
735	1601	574
736	1603	572
737	1605	569
738	1607	567
739	1609	565
740	1611	563
741	1612	560
742	1614	558
743	1616	556
744	1618	554
745	1620	551
746	1622	549
747	1624	547
748	1626	545
749	1628	542
750	1630	540
751	1632	538
752	1633	535
753	1635	533
754	1637	531
755	1639	529
756	1641	526
757	1643	524
758	1645	522
759	1647	520
760	1649	517
761	1650	515
762	1652	513
763	1654	511
764	1656	508
765	1658	506
766	1660	504
767	1664	502
768	1668	501
769	1670	498
770	1672	496
771	1673	494
772	1675	492
773	1677	489
774	1679	487
775	1683	485
776	1686	483
777	1691	482
778	1693	480
779	1695	478
780	1697	476
781	1699	473
782	1701	471
783	1704	469
784	1706	467
785	1708	465
786	1710	462
787	1712	460
788	1714	458
789	1716	456
790	1718	454
791	1720	451
792	1723	449
793	1725	447
794	1727	445
795	1729	443
796	1731	440
797	1733	438
798	1735	436
799	1737	434
800	1739	432
801	1741	430
802	1743	427
803	1745	425
804	1747	423
805	1749	421
806	1753	419
807	1755	417
808	1757	415
809	1759	412
810	1761	410
811	1763	408
812	1765	406
813	1767	403
814	1768	401
815	1770	399
816	1772	397
817	1774	394
818	1776	392
819	1778	390
820	1780	388
821	1782	385
822	1784	383
823	1786	381
824	1788	379
825	1789	377
826	1792	374
827	1794	372
828	1797	370
829	1800	368
830	1802	366
831	1803	364
832	1805	362
833	1807	359
834	1809	357
835	1811	355
836	1813	353
837	1815	350
838	1817	348
839	1818	346
840	1820	344
841	1822	342
842	1824	339
843	1826	337
844	1828	335
845	1830	333
846	1832	330
847	1833	328
848	1836	326
849	1841	324
850	1845	323
851	1849	321
852	1851	319
853	1855	317
854	1857	314
855	1859	312
856	1861	310
857	1863	308
858	1865	306
859	1867	304
860	1869	301
861	1871	299
862	1873	297
863	1875	295
864	1877	293
865	1879	290
866	1881	288
867	1883	286
868	1885	284
869	1887	281
870	1889	279
871	1891	277
872	1894	275
873	1896	273
874	1898	271
875	1900	268
876	1902	266
877	1904	264
878	1905	262
879	1907	260
880	1909	257
881	1911	255
882	1913	253
883	1915	251
884	1917	249
885	1919	246
